PMID,Title,Publication Date,Abstract,FullTextLink,Cleaned_Title,Cleaned_Abstract,Processed_Text,Assigned_Category
39106679,MAUDE database and Eustachian tube balloon dilation: Evaluation of adverse events and sales data.,"Aug, 2024","STUDY DESIGN: Review of database. SETTING: Tertiary care neurotology center. PATIENTS: Patients undergoing adverse events. INTERVENTION: MAUDE database evaluation of Eustachian tube balloon dilation (ETBD) for the treatment of Eustachian tube dysfunction. MAIN OUTCOME MEASURES: Medical device reports (MDRs) from the MAUDE database were analyzed for adverse patient events (AE) and device malfunctions (DM) among different devices for ETBD. The objective of this analysis is to assess AE rates and compare them across different devices. Sales data was also used to calculate AE rates. RESULTS: There were 18 MDRs noted in the MAUDE database for patients undergoing ETBD out of an initial 23 results. When separated into devices, the Aera had 9 total MDRs (50 %), Xpress had 8 (44.4 %) and Audion had 1 (5.6 %). There were 10 AE and 8 DM. When separated by device, Aera had 4 AEs and 5 DMs, Xpress had 5 AEs and 3 DMs, and Audion had 1 AE. The most common AE was subcutaneous emphysema (n = 4), in the head and neck region with one report of mediastinal involvement. Using this sales data, the Aera balloon has an MDR rate of 0.0128 % is established, with a rate of AE at 0.0058 %. The Audion balloon had an MDR and AE rate of 0.0164 %. CONCLUSIONS: ETBD is a safe procedure with minimal complications, with subcutaneous emphysema being the most commonly reported adverse event, consistent with literature findings. A comprehensive analysis of AE, coupled with sales data, indicates a commendably low MDR rate of 0.0128 % for the Aera balloon while the Audion balloon had an MDR rate of 0.0164 %. These findings offer valuable insights on post-procedure expectations and engaging in informed consent discussions with patients, highlighting the overall safety of ETBD as an intervention.",No Full Text Available,maude database and eustachian tube balloon dilation evaluation of adverse events and sales data,study design review of database setting tertiary care neurotology center patients patients undergoing adverse events intervention maude database evaluation of eustachian tube balloon dilation etbd for the treatment of eustachian tube dysfunction main outcome measures medical device reports mdrs from the maude database were analyzed for adverse patient events ae and device malfunctions dm among different devices for etbd the objective of this analysis is to assess ae rates and compare them across different devices sales data was also used to calculate ae rates results there were  mdrs noted in the maude database for patients undergoing etbd out of an initial  results when separated into devices the aera had  total mdrs   xpress had    and audion had    there were  ae and  dm when separated by device aera had  aes and  dms xpress had  aes and  dms and audion had  ae the most common ae was subcutaneous emphysema n   in the head and neck region with one report of mediastinal involvement using this sales data the aera balloon has an mdr rate of   is established with a rate of ae at   the audion balloon had an mdr and ae rate of   conclusions etbd is a safe procedure with minimal complications with subcutaneous emphysema being the most commonly reported adverse event consistent with literature findings a comprehensive analysis of ae coupled with sales data indicates a commendably low mdr rate of   for the aera balloon while the audion balloon had an mdr rate of   these findings offer valuable insights on postprocedure expectations and engaging in informed consent discussions with patients highlighting the overall safety of etbd as an intervention,maude database eustachian tube balloon dilation evaluation adverse event sale data study design review database setting tertiary care neurotology center patient patient undergoing adverse event intervention maude database evaluation eustachian tube balloon dilation etbd treatment eustachian tube dysfunction main outcome measure medical device report mdrs maude database analyzed adverse patient event ae device malfunction dm among different device etbd objective analysis ass ae rate compare across different device sale data also used calculate ae rate result mdrs noted maude database patient undergoing etbd initial result separated device aera total mdrs xpress audion ae dm separated device aera aes dm xpress aes dm audion ae common ae subcutaneous emphysema n head neck region one report mediastinal involvement using sale data aera balloon mdr rate established rate ae audion balloon mdr ae rate conclusion etbd safe procedure minimal complication subcutaneous emphysema commonly reported adverse event consistent literature finding comprehensive analysis ae coupled sale data indicates commendably low mdr rate aera balloon audion balloon mdr rate finding offer valuable insight postprocedure expectation engaging informed consent discussion patient highlighting overall safety etbd intervention,Uncertain
39099264,Adverse events associated with robotic-assistance in total hip arthroplasty: an analysis based on the FDA MAUDE database.,"Aug, 2024","BACKGROUND: The Food and Drug Administration (FDA) maintains the Manufacturer and User Facility Device Experience (MAUDE) database for reporting adverse events associated with medical devices, including emerging technologies, such as robotic-assisted total hip arthroplasty (THA). Aim of this study was to evaluate the variation of adverse events associated with robotics in THA. METHODS: Medical device reports (MDRs) within the MAUDE database were identified between 2017 and 2021. For MDR identification the product class ""orthopaedic stereotaxic equipment"" and terms associated with THA were used. Individual adverse events were identified and organised by type and consequences, such as patient injury, surgical delay, or conversion to the manual technique. RESULTS: 521 MDRs constituting 546 discrete events were found. The most common reported complication was intraoperative hardware failure (304/546, 55.7%), among which the most common failure was a broken impaction handle/platform (110, 20.1%). Inaccurate cup placement was the second most common reported complication (63, 11.5%). Abandoning the robot occurred in 13.0% (71/521) of reports. A surgical delay was noted in 28% (146/521) of reports, with an average delay of 17.9 (range 1-60) minutes. CONCLUSIONS: Identifying complications that may occur with robotics in THA is an important first step in preventing adverse events and surgical delays. Database analysis provide an overview of the range of complications.",No Full Text Available,adverse events associated with roboticassistance in total hip arthroplasty an analysis based on the fda maude database,background the food and drug administration fda maintains the manufacturer and user facility device experience maude database for reporting adverse events associated with medical devices including emerging technologies such as roboticassisted total hip arthroplasty tha aim of this study was to evaluate the variation of adverse events associated with robotics in tha methods medical device reports mdrs within the maude database were identified between  and  for mdr identification the product class orthopaedic stereotaxic equipment and terms associated with tha were used individual adverse events were identified and organised by type and consequences such as patient injury surgical delay or conversion to the manual technique results  mdrs constituting  discrete events were found the most common reported complication was intraoperative hardware failure   among which the most common failure was a broken impaction handleplatform   inaccurate cup placement was the second most common reported complication   abandoning the robot occurred in   of reports a surgical delay was noted in   of reports with an average delay of  range  minutes conclusions identifying complications that may occur with robotics in tha is an important first step in preventing adverse events and surgical delays database analysis provide an overview of the range of complications,adverse event associated roboticassistance total hip arthroplasty analysis based fda maude database background food drug administration fda maintains manufacturer user facility device experience maude database reporting adverse event associated medical device including emerging technology roboticassisted total hip arthroplasty tha aim study evaluate variation adverse event associated robotics tha method medical device report mdrs within maude database identified mdr identification product class orthopaedic stereotaxic equipment term associated tha used individual adverse event identified organised type consequence patient injury surgical delay conversion manual technique result mdrs constituting discrete event found common reported complication intraoperative hardware failure among common failure broken impaction handleplatform inaccurate cup placement second common reported complication abandoning robot occurred report surgical delay noted report average delay range minute conclusion identifying complication may occur robotics tha important first step preventing adverse event surgical delay database analysis provide overview range complication,Robotic Surgery Malfunction Analysis
39067092,Adverse events related to suction electrocautery devices in adenotonsillectomy: Analysis of the MAUDE database.,"Jul, 2024","OBJECTIVE: To identify adverse events (AEs) related to suction electrocautery use during adenotonsillectomy. METHODS: The US Food and Drug Administration (FDA) Manufacturer and User Facility Device Experience (MAUDE) database was searched using the terms ""suction cautery,"" ""suction electrocautery,"" ""suction Bovie,"" and ""suction coagulator"" from January 2014 to December 2023. RESULTS: 165 AE reports were gathered from the MAUDE database medical device reports (MDRs). 36 met inclusion criteria. Patient injuries were found in 22 (61.1 %) reports and device malfunction events were found in 14 (38.9 %) reports. All patient injuries were thermal burns (N = 22, 100 %). Location of burn injuries included the lip (N = 6, 27.3 %), oral commissure (N = 5, 22.7 %), and tongue (N = 4, 18.2 %). The most common cause of an AE was inadequate device insulation (N = 7, 19.4 %). CONCLUSION: The suction electrocautery apparatus may malfunction and cause patient burn injuries. Device failures mainly result from inadequate device insulation, coagulation problems, and detachment of device components. Surgeons must be aware of these potential complications and counsel parents and patients regarding AEs.",No Full Text Available,adverse events related to suction electrocautery devices in adenotonsillectomy analysis of the maude database,objective to identify adverse events aes related to suction electrocautery use during adenotonsillectomy methods the us food and drug administration fda manufacturer and user facility device experience maude database was searched using the terms suction cautery suction electrocautery suction bovie and suction coagulator from january  to december  results  ae reports were gathered from the maude database medical device reports mdrs  met inclusion criteria patient injuries were found in    reports and device malfunction events were found in    reports all patient injuries were thermal burns n     location of burn injuries included the lip n     oral commissure n     and tongue n     the most common cause of an ae was inadequate device insulation n     conclusion the suction electrocautery apparatus may malfunction and cause patient burn injuries device failures mainly result from inadequate device insulation coagulation problems and detachment of device components surgeons must be aware of these potential complications and counsel parents and patients regarding aes,adverse event related suction electrocautery device adenotonsillectomy analysis maude database objective identify adverse event aes related suction electrocautery use adenotonsillectomy method u food drug administration fda manufacturer user facility device experience maude database searched using term suction cautery suction electrocautery suction bovie suction coagulator january december result ae report gathered maude database medical device report mdrs met inclusion criterion patient injury found report device malfunction event found report patient injury thermal burn n location burn injury included lip n oral commissure n tongue n common cause ae inadequate device insulation n conclusion suction electrocautery apparatus may malfunction cause patient burn injury device failure mainly result inadequate device insulation coagulation problem detachment device component surgeon must aware potential complication counsel parent patient regarding aes,Uncertain
39049270,Enhancing MAUDE Database Utility by GPT-4 and Cause-Effect Visualization.,"Jul, 2024","The MAUDE database is a valuable public resource for understanding malfunctions and adverse events related to medical devices and health IT. However, its extensive data and complex structure pose challenges. To overcome this, we have developed an automated analytical pipeline using GPT-4, a cutting-edge large language model. This pipeline is intended to efficiently extract, categorize, and visualize safety events with minimal human annotation. In our analysis of 4,459 colonoscopy reports from MAUDE (2011-2021), the events were categorized into operational, human factor, and device-related. Ishikawa diagrams visualized a subset stored in a vector database for easy retrieval and comparison through a similarity search. This innovative approach streamlines access to vital safety insights, reducing the workload on human annotators, and holds promise to enhance the utility of the MAUDE database.",No Full Text Available,enhancing maude database utility by gpt and causeeffect visualization,the maude database is a valuable public resource for understanding malfunctions and adverse events related to medical devices and health it however its extensive data and complex structure pose challenges to overcome this we have developed an automated analytical pipeline using gpt a cuttingedge large language model this pipeline is intended to efficiently extract categorize and visualize safety events with minimal human annotation in our analysis of  colonoscopy reports from maude  the events were categorized into operational human factor and devicerelated ishikawa diagrams visualized a subset stored in a vector database for easy retrieval and comparison through a similarity search this innovative approach streamlines access to vital safety insights reducing the workload on human annotators and holds promise to enhance the utility of the maude database,enhancing maude database utility gpt causeeffect visualization maude database valuable public resource understanding malfunction adverse event related medical device health however extensive data complex structure pose challenge overcome developed automated analytical pipeline using gpt cuttingedge large language model pipeline intended efficiently extract categorize visualize safety event minimal human annotation analysis colonoscopy report maude event categorized operational human factor devicerelated ishikawa diagram visualized subset stored vector database easy retrieval comparison similarity search innovative approach streamlines access vital safety insight reducing workload human annotator hold promise enhance utility maude database,Medical Device Safety Incidents
38988303,Complications Associated with AMBU™ Scope Use: An FDA MAUDE Analysis.,"Jul, 2024","Ambu® aScope™ is a disposable flexible videoscope used for a wide range of medical procedures. However, adverse events associated with this device can occur. The Food and Drug Administration (FDA) Manufacturer and User Facility Device Experience (MAUDE) database was explored for patient-related adverse events associated with Ambu® aScope™ use between January 1, 2000 and December 15, 2023. Search terms included ""Ambu"" and ""Ascope."" Thirty unique adverse events were identified. Twenty-one of the events were associated with patient injury, and 9 with device malfunction. Eight patient-reported problems were documented as foreign bodies, 3 events as airway obstruction, desaturation, or hypoxic events, and 1 event as anxiety/cardiac arrest. The remaining 18 reported insufficient information other than associated with patient injury. We found that Ambu® aScope™ flexible nasolaryngoscopes and bronchoscopes are a common and effective tool for airway evaluations that may infrequently serve as a rare form of foreign body with potentially life-threatening consequences.",No Full Text Available,complications associated with ambu scope use an fda maude analysis,ambu ascope is a disposable flexible videoscope used for a wide range of medical procedures however adverse events associated with this device can occur the food and drug administration fda manufacturer and user facility device experience maude database was explored for patientrelated adverse events associated with ambu ascope use between january   and december   search terms included ambu and ascope thirty unique adverse events were identified twentyone of the events were associated with patient injury and  with device malfunction eight patientreported problems were documented as foreign bodies  events as airway obstruction desaturation or hypoxic events and  event as anxietycardiac arrest the remaining  reported insufficient information other than associated with patient injury we found that ambu ascope flexible nasolaryngoscopes and bronchoscopes are a common and effective tool for airway evaluations that may infrequently serve as a rare form of foreign body with potentially lifethreatening consequences,complication associated ambu scope use fda maude analysis ambu ascope disposable flexible videoscope used wide range medical procedure however adverse event associated device occur food drug administration fda manufacturer user facility device experience maude database explored patientrelated adverse event associated ambu ascope use january december search term included ambu ascope thirty unique adverse event identified twentyone event associated patient injury device malfunction eight patientreported problem documented foreign body event airway obstruction desaturation hypoxic event event anxietycardiac arrest remaining reported insufficient information associated patient injury found ambu ascope flexible nasolaryngoscopes bronchoscope common effective tool airway evaluation may infrequently serve rare form foreign body potentially lifethreatening consequence,Uncertain
38978283,Catheter-related and clinical complications associated with QDOT MICROTM Ablation Catheter.,"Jul, 2024","INTRODUCTION: The QDOT MICRO METHODS: We aimed to assess AE associated with the QDOT MICRO RESULTS: A total of 302 AEs from November 23, 2022, to April 30, 2024, were reported including 148 (49%) catheter-related issues and 154 (51%) clinical complications. Among the catheter-related issues, physical catheter damage (74.3%, n = 110) was most common, followed by communication or display issue (10.8%, n = 16), irrigation issue (9.5%, n = 14), signal issue or artifact (3.4%, n = 5), and inaccurate temperature measurement (2.0%, n = 3). Regarding clinical complications, the most common AE was pericardial effusion (43.5%, n = 67), followed by char formation (11.7%, n = 18), catheter thrombosis (7.1%, n = 11), stroke (7.1%, n = 11), pericarditis (7.1%, n = 11), esophageal complications (6.5%, n = 10), phrenic nerve palsy (3.9%, n = 6), cardiac arrest (3.9%, n = 6), significant AV block (3.9%, n = 6), pulmonary vein stenosis (3.2%, n = 5), coronary artery spasm (1.3%, n = 2), and pulmonary embolism (0.6%, n = 1). There were 11 deaths (five related to esophageal complications, five related to cardiac arrest, and one related to pericardial effusion with cardiac tamponade). CONCLUSION: As high-power ablation strategy with novel ablation catheters is becoming more widely utilized, operators must be aware of potential catheter-related issues and clinical complications that may arise. More data are needed to further evaluate risks of these complications to improve the catheter's safety and efficacy.",No Full Text Available,catheterrelated and clinical complications associated with qdot microtm ablation catheter,introduction the qdot micro methods we aimed to assess ae associated with the qdot micro results a total of  aes from november   to april   were reported including   catheterrelated issues and   clinical complications among the catheterrelated issues physical catheter damage  n   was most common followed by communication or display issue  n   irrigation issue  n   signal issue or artifact  n   and inaccurate temperature measurement  n   regarding clinical complications the most common ae was pericardial effusion  n   followed by char formation  n   catheter thrombosis  n   stroke  n   pericarditis  n   esophageal complications  n   phrenic nerve palsy  n   cardiac arrest  n   significant av block  n   pulmonary vein stenosis  n   coronary artery spasm  n   and pulmonary embolism  n   there were  deaths five related to esophageal complications five related to cardiac arrest and one related to pericardial effusion with cardiac tamponade conclusion as highpower ablation strategy with novel ablation catheters is becoming more widely utilized operators must be aware of potential catheterrelated issues and clinical complications that may arise more data are needed to further evaluate risks of these complications to improve the catheters safety and efficacy,catheterrelated clinical complication associated qdot microtm ablation catheter introduction qdot micro method aimed ass ae associated qdot micro result total aes november april reported including catheterrelated issue clinical complication among catheterrelated issue physical catheter damage n common followed communication display issue n irrigation issue n signal issue artifact n inaccurate temperature measurement n regarding clinical complication common ae pericardial effusion n followed char formation n catheter thrombosis n stroke n pericarditis n esophageal complication n phrenic nerve palsy n cardiac arrest n significant av block n pulmonary vein stenosis n coronary artery spasm n pulmonary embolism n death five related esophageal complication five related cardiac arrest one related pericardial effusion cardiac tamponade conclusion highpower ablation strategy novel ablation catheter becoming widely utilized operator must aware potential catheterrelated issue clinical complication may arise data needed evaluate risk complication improve catheter safety efficacy,Uncertain
38943447,Comprehensive Analysis of Adverse Events Associated With Hypoglossal Nerve Stimulators: Insights From the MAUDE Database.,"Jun, 2024","OBJECTIVE: This study aims to examine the adverse events associated with hypoglossal nerve stimulator (HNS) implantation for treating obstructive sleep apnea (OSA), drawing data from the Manufacturer and User Facility Device Experience (MAUDE) database. We aim to provide a comprehensive and updated account of these adverse events. STUDY DESIGN: Retrospective analysis. SETTING: MAUDE Database review. METHODS: A retrospective analysis was performed on the MAUDE database to collect all HNS-related reports from May 2014 to December 2023. Variables collected included date of event, event description, nature of event, iatrogenic injuries, required interventions, and, if available, root causes. Each event description was analyzed to classify the adverse event, the postevent intervention, and device model number. RESULTS: Out of 1178 reports fulfilling the inclusion criteria, 1312 adverse events were identified. Common adverse events included infection (24.0%), pain (19.7%), and hematoma/seroma (10.2%). Approximately 83.1% of these adverse events necessitated medical and/or surgical intervention. The most frequent procedures included explantation (29.4%) and device repositioning (15.8%). Pneumothorax was reported in 50 cases, with 41 (82.0%) requiring a chest tube to be inserted. Three adverse events described overstimulation in the setting of magnetic resonance imaging (MRI) despite the implantation of MRI-compatible second-generation internal pulse generators. CONCLUSION: While HNS implantation has been established as a reliable intervention for OSA in cases of continuous positive airway pressure failure or intolerance, this study highlights several perioperative and postoperative difficulties and complications. Understanding these challenges is essential for refining surgical practices and enhancing patient consent processes, ultimately aiming to improve therapeutic outcomes.",No Full Text Available,comprehensive analysis of adverse events associated with hypoglossal nerve stimulators insights from the maude database,objective this study aims to examine the adverse events associated with hypoglossal nerve stimulator hns implantation for treating obstructive sleep apnea osa drawing data from the manufacturer and user facility device experience maude database we aim to provide a comprehensive and updated account of these adverse events study design retrospective analysis setting maude database review methods a retrospective analysis was performed on the maude database to collect all hnsrelated reports from may  to december  variables collected included date of event event description nature of event iatrogenic injuries required interventions and if available root causes each event description was analyzed to classify the adverse event the postevent intervention and device model number results out of  reports fulfilling the inclusion criteria  adverse events were identified common adverse events included infection  pain  and hematomaseroma  approximately  of these adverse events necessitated medical andor surgical intervention the most frequent procedures included explantation  and device repositioning  pneumothorax was reported in  cases with   requiring a chest tube to be inserted three adverse events described overstimulation in the setting of magnetic resonance imaging mri despite the implantation of mricompatible secondgeneration internal pulse generators conclusion while hns implantation has been established as a reliable intervention for osa in cases of continuous positive airway pressure failure or intolerance this study highlights several perioperative and postoperative difficulties and complications understanding these challenges is essential for refining surgical practices and enhancing patient consent processes ultimately aiming to improve therapeutic outcomes,comprehensive analysis adverse event associated hypoglossal nerve stimulators insight maude database objective study aim examine adverse event associated hypoglossal nerve stimulator hn implantation treating obstructive sleep apnea osa drawing data manufacturer user facility device experience maude database aim provide comprehensive updated account adverse event study design retrospective analysis setting maude database review method retrospective analysis performed maude database collect hnsrelated report may december variable collected included date event event description nature event iatrogenic injury required intervention available root cause event description analyzed classify adverse event postevent intervention device model number result report fulfilling inclusion criterion adverse event identified common adverse event included infection pain hematomaseroma approximately adverse event necessitated medical andor surgical intervention frequent procedure included explantation device repositioning pneumothorax reported case requiring chest tube inserted three adverse event described overstimulation setting magnetic resonance imaging mri despite implantation mricompatible secondgeneration internal pulse generator conclusion hn implantation established reliable intervention osa case continuous positive airway pressure failure intolerance study highlight several perioperative postoperative difficulty complication understanding challenge essential refining surgical practice enhancing patient consent process ultimately aiming improve therapeutic outcome,Uncertain
38888060,Are There Hidden Adverse Events in Hypoglossal Nerve Stimulation: Comparing Social Media and a Federal Database.,"Jun, 2024","OBJECTIVE: Hypoglossal nerve stimulation (HNS) can be an effective treatment for moderate to severe obstructive sleep apnea (OSA) in positive airway pressure (PAP) intolerant patients. To better understand patient experiences with HNS therapy, we explored reported events from HNS-related Facebook groups and the Manufacturer and User Facility Device Experience (MAUDE) database. METHODS: A retrospective analysis of HNS-related Facebook posts from three groups pertaining to HNS therapy, from October 1, 2022 to October 1, 2023, was performed. Posts were analyzed for patient-reported adverse events. Concurrently, the MAUDE database was reviewed for HNS-related events during the same timeframe. RESULTS: From 737 Facebook posts, 132 (17.55%) adverse events were identified. Adverse events included pain (34.85%), stimulation discomfort (14.39%), lip weakness (6.82%) and issues related to lead tethering or tight leads around the neck (3.79%). Analysis of the MAUDE database found 428 adverse events, including pain (24.07%), lip weakness (0.44%), and lead tethering (1.64%). CONCLUSION: Facebook group members reported higher rates of lip weakness and lead tethering than recorded in the MAUDE database. These findings illustrate how diverse data sources, such as social media, can enhance our understanding of patient experiences and identify gaps in patient education with HNS therapy. LEVEL OF EVIDENCE: NA Laryngoscope, 2024.",No Full Text Available,are there hidden adverse events in hypoglossal nerve stimulation comparing social media and a federal database,objective hypoglossal nerve stimulation hns can be an effective treatment for moderate to severe obstructive sleep apnea osa in positive airway pressure pap intolerant patients to better understand patient experiences with hns therapy we explored reported events from hnsrelated facebook groups and the manufacturer and user facility device experience maude database methods a retrospective analysis of hnsrelated facebook posts from three groups pertaining to hns therapy from october   to october   was performed posts were analyzed for patientreported adverse events concurrently the maude database was reviewed for hnsrelated events during the same timeframe results from  facebook posts   adverse events were identified adverse events included pain  stimulation discomfort  lip weakness  and issues related to lead tethering or tight leads around the neck  analysis of the maude database found  adverse events including pain  lip weakness  and lead tethering  conclusion facebook group members reported higher rates of lip weakness and lead tethering than recorded in the maude database these findings illustrate how diverse data sources such as social media can enhance our understanding of patient experiences and identify gaps in patient education with hns therapy level of evidence na laryngoscope ,hidden adverse event hypoglossal nerve stimulation comparing social medium federal database objective hypoglossal nerve stimulation hn effective treatment moderate severe obstructive sleep apnea osa positive airway pressure pap intolerant patient better understand patient experience hn therapy explored reported event hnsrelated facebook group manufacturer user facility device experience maude database method retrospective analysis hnsrelated facebook post three group pertaining hn therapy october october performed post analyzed patientreported adverse event concurrently maude database reviewed hnsrelated event timeframe result facebook post adverse event identified adverse event included pain stimulation discomfort lip weakness issue related lead tethering tight lead around neck analysis maude database found adverse event including pain lip weakness lead tethering conclusion facebook group member reported higher rate lip weakness lead tethering recorded maude database finding illustrate diverse data source social medium enhance understanding patient experience identify gap patient education hn therapy level evidence na laryngoscope,Uncertain
38878940,Clinical outcomes associated with an esophageal cooling device.,"Jun, 2024","Atrioesophageal fistula (AEF), although rare, is a dreaded and often lethal complication of thermal ablation of atrial fibrillation (AF). Several strategies have been proposed to reduce the risk of thermal injury to the esophagus. The ensoETM device (Attune Medical, Chicago, IL) is one such device, which was originally designed for targeted temperature management in patients with cardiac arrest to prevent brain injury. The eCOOL-AF 1 and IMPACT 2 studies demonstrated up to an 83% reduction in any esophageal injury and a significant",No Full Text Available,clinical outcomes associated with an esophageal cooling device,atrioesophageal fistula aef although rare is a dreaded and often lethal complication of thermal ablation of atrial fibrillation af several strategies have been proposed to reduce the risk of thermal injury to the esophagus the ensoetm device attune medical chicago il is one such device which was originally designed for targeted temperature management in patients with cardiac arrest to prevent brain injury the ecoolaf  and impact  studies demonstrated up to an  reduction in any esophageal injury and a significant,clinical outcome associated esophageal cooling device atrioesophageal fistula aef although rare dreaded often lethal complication thermal ablation atrial fibrillation af several strategy proposed reduce risk thermal injury esophagus ensoetm device attune medical chicago il one device originally designed targeted temperature management patient cardiac arrest prevent brain injury ecoolaf impact study demonstrated reduction esophageal injury significant,Uncertain
38875724,"Characterizing the safety profile of vagus nerve stimulation devices for epilepsy from 21,448 manufacturer and user reports.","Jun, 2024","OBJECTIVE: This study summarizes medical device reports (MDRs) associated with adverse events for vagus nerve stimulation (VNS) devices indicated for epilepsy as reported by the Manufacturer and User Facility Device Experience (MAUDE) database of the US Food and Drug Administration. METHODS: The MAUDE database was surveyed for MDRs from November 2013 to September 2022 regarding VNS devices for epilepsy. Event descriptions, device problems, correlated patient consequences, and device models were grouped and analyzed in Python. Based on event description, revision surgeries and other unique events were identified. Revenue from VNS device sales was used to approximate growth in their use over time. RESULTS: A total of 21,448 MDRs met the inclusion criteria. High VNS impedance, the most prevalent device malfunction overall (17.0% of MDRs), was the most common factor for 18 of the 102 encountered patient problems and led to 1001 revision surgeries (3371 total revisions). Included in those 18 device malfunctions were 3 of the top 6 occurring patient problems: seizure recurrence (9.9% associated with high impedance; encompassed focal, absence, and grand mal subtypes), death (1.3%), and generalized pain (7.9%). The next 4 top cited device malfunctions-lead fracture (13.7% of MDRs), operational issue (6.6%), battery problem holding charge (4.2%), and premature end-of-life indicator (2.9%)-differed widely in their percentage of cases that did not impact patients (77.4%, 57.3%, 48.9%, and 92.2%, respectively), highlighting differing malfunction severities. Seizure recurrence, the most prevalent patient impact, was the outcome most associated with 32 of the 68 encountered device problems, including high impedance (12.8%), lead fracture (12.2%), operational issue (18.4%), battery problem holding charge (31.2%), and premature end-of-life indicator (8.9%), which comprised the top 5 occurring device problems. In general, MDRs spanned a diverse range including device age, hardware, software, and surgeon or manufacturer error. Trends were seen over time with declining annual MDRs coupled with a rise in the use of VNS devices as gauged by revenue growth. Shifting device and patient problem profiles were also seen in successive models, reflecting engineering updates. CONCLUSIONS: This study characterizes the most common and consequential side effects of VNS devices for epilepsy while clarifying likely causes. In addition, the outcomes of 68 distinct device malfunctions were identified, including many not ubiquitously present in literature, lending critical perspective to clinical practice.",No Full Text Available,characterizing the safety profile of vagus nerve stimulation devices for epilepsy from  manufacturer and user reports,objective this study summarizes medical device reports mdrs associated with adverse events for vagus nerve stimulation vns devices indicated for epilepsy as reported by the manufacturer and user facility device experience maude database of the us food and drug administration methods the maude database was surveyed for mdrs from november  to september  regarding vns devices for epilepsy event descriptions device problems correlated patient consequences and device models were grouped and analyzed in python based on event description revision surgeries and other unique events were identified revenue from vns device sales was used to approximate growth in their use over time results a total of  mdrs met the inclusion criteria high vns impedance the most prevalent device malfunction overall  of mdrs was the most common factor for  of the  encountered patient problems and led to  revision surgeries  total revisions included in those  device malfunctions were  of the top  occurring patient problems seizure recurrence  associated with high impedance encompassed focal absence and grand mal subtypes death  and generalized pain  the next  top cited device malfunctionslead fracture  of mdrs operational issue  battery problem holding charge  and premature endoflife indicator differed widely in their percentage of cases that did not impact patients    and  respectively highlighting differing malfunction severities seizure recurrence the most prevalent patient impact was the outcome most associated with  of the  encountered device problems including high impedance  lead fracture  operational issue  battery problem holding charge  and premature endoflife indicator  which comprised the top  occurring device problems in general mdrs spanned a diverse range including device age hardware software and surgeon or manufacturer error trends were seen over time with declining annual mdrs coupled with a rise in the use of vns devices as gauged by revenue growth shifting device and patient problem profiles were also seen in successive models reflecting engineering updates conclusions this study characterizes the most common and consequential side effects of vns devices for epilepsy while clarifying likely causes in addition the outcomes of  distinct device malfunctions were identified including many not ubiquitously present in literature lending critical perspective to clinical practice,characterizing safety profile vagus nerve stimulation device epilepsy manufacturer user report objective study summarizes medical device report mdrs associated adverse event vagus nerve stimulation vns device indicated epilepsy reported manufacturer user facility device experience maude database u food drug administration method maude database surveyed mdrs november september regarding vns device epilepsy event description device problem correlated patient consequence device model grouped analyzed python based event description revision surgery unique event identified revenue vns device sale used approximate growth use time result total mdrs met inclusion criterion high vns impedance prevalent device malfunction overall mdrs common factor encountered patient problem led revision surgery total revision included device malfunction top occurring patient problem seizure recurrence associated high impedance encompassed focal absence grand mal subtypes death generalized pain next top cited device malfunctionslead fracture mdrs operational issue battery problem holding charge premature endoflife indicator differed widely percentage case impact patient respectively highlighting differing malfunction severity seizure recurrence prevalent patient impact outcome associated encountered device problem including high impedance lead fracture operational issue battery problem holding charge premature endoflife indicator comprised top occurring device problem general mdrs spanned diverse range including device age hardware software surgeon manufacturer error trend seen time declining annual mdrs coupled rise use vns device gauged revenue growth shifting device patient problem profile also seen successive model reflecting engineering update conclusion study characterizes common consequential side effect vns device epilepsy clarifying likely cause addition outcome distinct device malfunction identified including many ubiquitously present literature lending critical perspective clinical practice,Uncertain
